# Mazes Completed,Cumulative reward
1,543
2,1158
3,202
4,189
5,174
6,187
7,833
8,138
9,173
10,299
11,106
12,67
13,53
14,83
15,42
16,135
17,117
18,177
19,27
20,59
21,168
22,42
23,114
24,281
25,114
26,109
27,143
28,59
29,148
30,174
31,74
32,81
33,172
34,28
35,321
36,76
37,122
38,31
39,73
40,70
41,57
42,54
43,54
44,44
45,30
46,114
47,36
48,96
49,36
50,31
51,175
52,40
53,56
54,114
55,21
56,115
57,41
58,144
59,49
60,170
61,49
62,42
63,194
64,53
65,139
66,36
67,45
68,49
69,40
70,27
71,39
72,41
73,41
74,54
75,57
76,67
77,82
78,31
79,178
80,51
81,72
82,38
83,51
84,50
85,64
86,33
87,58
88,77
89,77
90,70
91,32
92,23
93,25
94,62
95,195
96,33
97,39
98,36
99,32
100,16
101,32
102,53
103,47
104,70
105,40
106,54
107,34
108,59
109,23
110,25
111,48
112,76
113,66
114,47
115,196
116,39
117,26
118,30
119,39
120,84
121,79
122,16
123,155
124,59
125,52
126,105
127,45
128,59
129,53
130,4522
131,33
132,47
133,103
134,50
135,63
136,108
137,67
138,63
139,60
140,46
141,28
142,55
143,29
144,64
145,56
146,35
147,40
148,58
149,68
150,96
151,98
152,75
153,54
154,35
155,60
156,75
157,129
158,74
159,36
160,63
161,47
162,28
163,46
164,45
165,51
166,40
167,28
168,31
169,25
170,48
171,32
172,66
173,34
174,27
175,46
176,37
177,36
178,48
179,84
180,25
181,50
182,65
183,109
184,136
185,53
186,62
187,47
188,113
189,42
190,25
191,44
192,60
193,89
194,37
195,30
196,36
197,42
198,54
199,44
200,66
201,88
202,22
203,46
204,31
205,45
206,66
207,65
208,64
209,76
210,38
211,45
212,19
213,32
214,89
215,31
216,62
217,29
218,38
219,34
220,28
221,137
222,95
223,91
224,84
225,35
226,48
227,25
228,74
229,73
230,30
231,60
232,41
233,95
234,37
235,31
236,30
237,37
238,50
239,48
240,38
241,63
242,39
243,37
244,97
245,41
246,26
247,38
248,38
249,69
250,44
251,30
252,49
253,34
254,33
255,31
256,44
257,28
258,88
259,22
260,29
261,19
262,58
263,75
264,58
265,26
266,107
267,65
268,46
269,40
270,16
271,23
272,46
273,50
274,24
275,16
276,49
277,22
278,40
279,26
280,45
281,20
282,74
283,35
284,46
285,25
286,34
287,98
288,39
289,66
290,40
291,62
292,22
293,43
294,35
295,71
296,32
297,35
298,24
299,33
300,114
301,45
302,38
303,34
304,30
305,36
306,38
307,17
308,32
309,46
310,24
311,90
312,43
313,38
314,47
315,23
316,28
317,14
318,25
319,51
320,28
321,39
322,35
323,34
324,61
325,14
326,20
327,18
328,17
329,46
330,38
331,80
332,35
333,30
334,80
335,59
336,20
337,38
338,27
339,21
340,19
341,23
342,25
343,47
344,41
345,79
346,81
347,39
348,59
349,63
350,68
351,47
352,19
353,17
354,36
355,37
356,98
357,20
358,50
359,42
360,37
361,23
362,53
363,20
364,49
365,21
366,33
367,55
368,70
369,147
370,28
371,164
372,121
373,27
374,21
375,40
376,25
377,34
378,31
379,38
380,51
381,25
382,40
383,30
384,26
385,18
386,58
387,61
388,35
389,20
390,52
391,20
392,22
393,31
394,25
395,43
396,26
397,28
398,38
399,36
400,38
401,88
402,37
403,29
404,94
405,61
406,19
407,34
408,23
409,110
410,49
411,44
412,40
413,71
414,26
415,30
416,28
417,73
418,45
419,52
420,36
421,24
422,56
423,35
424,20
425,40
426,39
427,52
428,50
429,46
430,41
431,61
432,47
433,33
434,46
435,40
436,23
437,40
438,32
439,74
440,71
441,42
442,21
443,25
444,32
445,21
446,48
447,68
448,23
449,37
450,38
451,65
452,40
453,22
454,29
455,33
456,18
457,30
458,21
459,42
460,76
461,37
462,46
463,54
464,20
465,22
466,49
467,17
468,32
469,22
470,45
471,32
472,32
473,92
474,41
475,37
476,61
477,42
478,17
479,33
480,19
481,29
482,23
483,95
484,28
485,13
486,53
487,34
488,39
489,44
490,28
491,97
492,39
493,143
494,48
495,91
496,59
497,83
498,42
499,25
500,25
501,21
502,31
503,32
504,37
505,25
506,113
507,41
508,27
509,28
510,52
511,44
512,33
513,25
514,36
515,24
516,50
517,76
518,25
519,55
520,44
521,40
522,28
523,12
524,43
525,85
526,18
527,50
528,54
529,30
530,23
531,66
532,65
533,42
534,23
535,39
536,18
537,86
538,76
539,19
540,29
541,47
542,40
543,39
544,33
545,59
546,33
547,47
548,33
549,23
550,37
551,90
552,29
553,34
554,63
555,39
556,18
557,39
558,40
559,49
560,45
561,20
562,35
563,76
564,20
565,12
566,42
567,21
568,45
569,13
570,33
571,32
572,25
573,29
574,17
575,32
576,42
577,31
578,57
579,52
580,42
581,73
582,18
583,21
584,19
585,39
586,26
587,20
588,57
589,41
590,23
591,46
592,18
593,14
594,39
595,23
596,31
597,23
598,35
599,20
600,22
601,19
602,25
603,23
604,24
605,18
606,31
607,17
608,25
609,22
610,23
611,45
612,30
613,26
614,19
615,30
616,39
617,44
618,16
619,53
620,24
621,19
622,21
623,17
624,36
625,36
626,41
627,35
628,47
629,30
630,21
631,19
632,54
633,37
634,23
635,23
636,54
637,44
638,16
639,23
640,37
641,34
642,27
643,44
644,33
645,115
646,36
647,24
648,54
649,19
650,44
651,34
652,37
653,37
654,24
655,33
656,40
657,38
658,25
659,18
660,39
661,25
662,18
663,78
664,23
665,59
666,53
667,48
668,21
669,69
670,31
671,23
672,40
673,54
674,20
675,53
676,20
677,41
678,19
679,38
680,19
681,27
682,14
683,41
684,30
685,28
686,14
687,23
688,25
689,18
690,30
691,37
692,52
693,31
694,27
695,37
696,15
697,64
698,22
699,30
700,34
701,14
702,91
703,46
704,32
705,29
706,19
707,38
708,21
709,19
710,39
711,19
712,24
713,25
714,24
715,16
716,32
717,55
718,29
719,18
720,36
721,39
722,23
723,38
724,31
725,43
726,25
727,59
728,21
729,24
730,16
731,24
732,14
733,64
734,18
735,18
736,29
737,18
738,35
739,33
740,45
741,36
742,26
743,54
744,20
745,29
746,17
747,53
748,18
749,30
750,23
751,32
752,24
753,27
754,31
755,25
756,95
757,15
758,39
759,25
760,23
761,27
762,75
763,20
764,16
765,29
766,23
767,31
768,17
769,46
770,17
771,85
772,22
773,30
774,18
775,50
776,26
777,27
778,29
779,27
780,29
781,14
782,24
783,25
784,28
785,46
786,25
787,19
788,28
789,33
790,14
791,18
792,18
793,55
794,25
795,38
796,74
797,21
798,44
799,35
800,25
801,27
802,15
803,53
804,50
805,22
806,25
807,14
808,42
809,24
810,49
811,24
812,22
813,58
814,77
815,22
816,36
817,26
818,25
819,23
820,23
821,48
822,68
823,21
824,27
825,33
826,64
827,21
828,44
829,36
830,17
831,33
832,45
833,42
834,20
835,15
836,31
837,15
838,40
839,77
840,46
841,56
842,45
843,21
844,21
845,33
846,27
847,14
848,58
849,66
850,25
851,30
852,21
853,21
854,16
855,46
856,26
857,43
858,22
859,20
860,31
861,19
862,28
863,26
864,28
865,16
866,15
